id,primary,name,nickname,resource_state,retired,distance,converted_distance,brand_name,model_name,description,notification_distance,frame_type,weight
g16537882,False,Nike Zoom Fly 5,,3,False,29354,18.2,Nike,Zoom Fly 5,,300.0,,
b8099416,False,Vader Velo,Vader Velo,3,False,11601451,7208.8,Giant,TCR,,,3.0,17.0
b8615449,False,Endor Explorer,Endor Explorer,3,False,2237077,1390.1,Marin,Headlands,,,3.0,20.0
b11212849,False,CAAD Trooper,CAAD Trooper,3,False,1451438,901.9,cannondale,caad13,,,3.0,16.8
b5245627,False,Lefty Falcon,Lefty Falcon,3,False,1871049,1162.6,Cannondale,Slate,,,3.0,19.0
b4073790,False,TIE Strider,TIE Strider,3,False,9818665,6101.0,Storck ,scenero G2,,,3.0,14.5
b4196400,False,Solo Speeder,Solo Speeder,3,False,742965,461.7,,,,,3.0,17.0
b8029179,False,Rebel Rockhopper,Rebel Rockhopper,3,False,148052,92.0,Marin,Headlands,,,1.0,30.9
b326351,False,Caadie,Caadie,3,True,9232128,5736.6,Cannondale,CAAD10,,,3.0,18.0
b804798,False,The Sound,The Sound,3,True,1417281,880.7,,,,,3.0,20.0
b232108,False,Red Barron,Red Barron,3,True,528429,328.4,,,,,3.0,27.0
