Following Athlete ID,Follow Status,Created At
1801388,Accepted,"Mar 18, 2013, 5:20:27 AM"
1861565,Accepted,"Mar 19, 2013, 12:23:19 AM"
1915531,Accepted,"Apr 1, 2013, 3:16:25 PM"
707019,Accepted,"Apr 1, 2013, 3:53:06 PM"
1941497,Accepted,"Apr 7, 2013, 4:07:19 AM"
1943633,Accepted,"Apr 7, 2013, 3:51:51 PM"
1944034,Accepted,"Apr 7, 2013, 3:52:38 PM"
90005,Accepted,"Apr 20, 2013, 2:57:33 PM"
1920113,Accepted,"Apr 28, 2013, 8:15:28 PM"
190571,Accepted,"May 4, 2013, 6:05:46 AM"
4471411,Accepted,"Apr 15, 2014, 5:40:55 AM"
4439071,Accepted,"Apr 15, 2014, 5:44:32 AM"
2233769,Accepted,"Apr 22, 2014, 5:05:28 PM"
4052620,Accepted,"May 6, 2014, 6:15:13 AM"
4522321,Accepted,"Jun 2, 2014, 9:20:12 PM"
5088230,Accepted,"Jul 7, 2014, 6:30:11 PM"
6531312,Accepted,"Oct 8, 2014, 11:02:39 PM"
8659023,Accepted,"Apr 19, 2015, 8:03:14 PM"
9085916,Accepted,"May 7, 2015, 2:20:36 AM"
2737717,Accepted,"Jun 8, 2015, 2:05:41 PM"
845717,Accepted,"Jun 19, 2015, 2:54:07 AM"
10934941,Accepted,"Aug 22, 2015, 4:21:14 AM"
9524932,Accepted,"Aug 22, 2015, 4:21:32 AM"
2064397,Accepted,"Aug 24, 2015, 4:30:41 AM"
7002914,Accepted,"Aug 24, 2015, 2:23:23 PM"
4527596,Accepted,"Sep 6, 2015, 10:39:40 PM"
14584061,Accepted,"Apr 16, 2016, 4:02:58 PM"
9034423,Accepted,"Apr 17, 2016, 2:41:54 AM"
9631275,Accepted,"May 23, 2016, 2:37:15 AM"
2588733,Accepted,"Jun 8, 2016, 6:32:23 PM"
9686411,Accepted,"Jun 11, 2016, 9:16:59 PM"
10968057,Accepted,"Jun 11, 2016, 9:17:31 PM"
10880223,Accepted,"Jun 11, 2016, 9:22:24 PM"
8624467,Accepted,"Jun 26, 2016, 5:45:41 PM"
7414356,Accepted,"Jul 3, 2016, 8:14:20 PM"
8414223,Accepted,"Apr 11, 2017, 8:53:01 PM"
5642704,Accepted,"May 7, 2017, 7:13:38 PM"
523123,Accepted,"May 7, 2017, 7:14:09 PM"
15887534,Accepted,"May 7, 2017, 7:14:25 PM"
11825593,Accepted,"May 26, 2017, 11:46:00 PM"
22615529,Accepted,"Jun 20, 2017, 1:09:12 PM"
9188804,Accepted,"Jul 21, 2018, 2:31:53 AM"
2942293,Accepted,"Aug 1, 2018, 11:14:52 PM"
35389581,Accepted,"Oct 3, 2018, 12:19:26 AM"
2044029,Accepted,"Oct 3, 2018, 12:19:30 AM"
