Join Date,Name,Completed
"Apr 5, 2013, 2:29:17 AM",Spring Classics Challenge from Specialized,false
"Apr 28, 2013, 3:35:05 AM",The May Massive,false
"Jun 2, 2013, 2:48:00 AM",The Junedoggle,false
"Jun 25, 2013, 7:36:31 AM",PowerBar Take on the Tour,false
"Nov 5, 2013, 2:15:46 AM",Any Way 10k,false
"Nov 18, 2013, 5:39:42 AM",Find Your Way,false
"May 4, 2014, 6:55:12 AM",Gran Fondo 5,false
"May 30, 2014, 7:22:53 PM",May MTS,false
"May 31, 2014, 8:30:22 PM",June MTS,false
"Jun 1, 2014, 10:19:09 PM",Gran Fondo 6,true
"Jun 30, 2014, 2:09:52 AM",Gran Fondo 7,false
"Jul 2, 2014, 4:24:36 AM",July MTS,false
"Jul 31, 2014, 4:00:03 AM",Gran Fondo 8,false
"Sep 2, 2014, 2:12:55 PM",Gran Fondo 9,true
"Sep 21, 2014, 7:11:09 PM",Eddy Merckx 1969 Challenge,false
"Apr 18, 2015, 11:20:49 PM",Gran Fondo 130,false
"Apr 30, 2015, 5:10:29 AM",Gran Fondo 100,true
"May 9, 2015, 4:19:25 AM",May MTS,false
"May 27, 2015, 12:10:33 AM", Rapha #MYHOUR Challenge,true
"May 27, 2015, 12:14:50 AM",June MTS,false
"May 27, 2015, 12:14:53 AM",Gran Fondo 115,false
"Jun 17, 2015, 9:30:33 PM",Adventure Cycling Challenge,false
"Jul 2, 2015, 3:34:09 AM",Gran Fondo 130,false
"Jul 30, 2015, 12:47:23 AM",Gran Fondo 150,false
"Jul 30, 2015, 12:47:31 AM",August MTS,false
"Jul 30, 2015, 12:47:57 AM",Strava Climbing Challenge,false
"Aug 28, 2015, 5:55:00 PM",Gran Fondo 120,true
"Aug 28, 2015, 5:55:12 PM",September MTS,false
"Sep 8, 2015, 7:18:36 PM",Strava Climbing Challenge,false
"Sep 28, 2015, 11:54:26 PM",Adventure Cycling Challenge,false
"Sep 28, 2015, 11:54:35 PM",October MTS,false
"Sep 28, 2015, 11:54:36 PM",Strava Climbing Challenge,false
"Sep 28, 2015, 11:54:37 PM",Gran Fondo 120,false
"Oct 30, 2015, 3:41:33 AM",Gran Fondo 100,false
"Mar 28, 2016, 11:07:08 PM",April Climbing Challenge,false
"Mar 28, 2016, 11:07:10 PM",April Gran Fondo,false
"Mar 28, 2016, 11:07:29 PM",April Distance Challenge,false
"May 2, 2016, 3:25:17 AM",May Distance Challenge,false
"May 2, 2016, 3:25:23 AM",May Gran Fondo,true
"May 2, 2016, 3:25:31 AM",Giro d’Italia Climbing Challenge,false
"May 17, 2016, 3:10:28 PM",Strade Bianche,false
"May 29, 2016, 3:56:10 AM",June Distance Challenge,false
"May 29, 2016, 3:56:13 AM",June Gran Fondo,true
"May 29, 2016, 3:56:15 AM",June Climbing Challenge,false
"Jun 27, 2016, 7:05:21 PM",July Gran Fondo,false
"Jun 27, 2016, 7:05:24 PM",July Distance Challenge,false
"Jun 27, 2016, 7:06:40 PM",July Climbing Challenge,false
"Aug 3, 2016, 3:29:35 AM",August Gran Fondo,false
"Sep 24, 2016, 9:17:02 PM",September Gran Fondo,true
"Aug 1, 2017, 3:13:07 PM",Eurosport International Ride,true
"Aug 2, 2017, 3:52:28 AM",August Gran Fondo,false
"Aug 2, 2017, 3:52:29 AM",August Cycling Climbing Challenge,false
"Jan 31, 2018, 2:03:58 PM",Le Col Season Starter,false
"Apr 6, 2018, 3:58:35 AM",Alpe du Zwift Challenge,true
"Apr 12, 2018, 4:18:44 AM",Le Col 100 Mile Challenge,true
"Apr 12, 2018, 4:19:06 AM",The Oakley Ride More Challenge,false
"Jul 21, 2018, 4:42:42 AM",Le Col by Wiggins 100 Mile Challenge,true
"Jul 26, 2018, 9:03:11 PM",August Gran Fondo,false
"Jul 27, 2018, 1:18:10 AM",August Cycling Climbing Challenge,false
"Oct 6, 2018, 2:06:57 PM",Le Col 150 Km Challenge,false
"Oct 8, 2018, 3:48:05 PM",Cathay Pacific Nonstop to Hong Kong Challenge,false
"Mar 23, 2019, 4:42:29 PM",Veloforte 120km Spring Shakeout,false
"Jun 28, 2019, 8:08:24 PM",Trek Century Challenge,true
"Jul 3, 2019, 3:28:17 AM",ROKA Le Défi 100,true
"Jul 19, 2019, 7:13:05 PM",Climb for #ThisIsOurTime with ŠKODA,true
"Jul 27, 2019, 2:28:31 AM",August Gran Fondo,false
"Jul 27, 2019, 2:28:32 AM",August Cycling Climbing Challenge,false
"Jul 27, 2019, 2:28:36 AM",August Cycling Distance Challenge,false
"Aug 9, 2019, 11:19:01 PM",Brooks Best Fest New York,false
"Aug 22, 2019, 11:25:07 AM",The Escape Plan,false
"Apr 1, 2020, 1:13:59 AM",April 5K,false
"Apr 12, 2020, 1:00:38 AM",SOLOdarity,true
"May 1, 2020, 2:23:57 PM",May 5K,false
"May 2, 2020, 8:52:35 PM",Sufferfest Beer Challenge,false
"May 2, 2020, 8:52:51 PM",May Cycling Climbing Challenge,false
"May 2, 2020, 8:53:20 PM",May – Ride On Challenge,true
"May 6, 2020, 4:59:43 AM",ROKA Together 20,true
"May 17, 2020, 7:07:36 AM",Le Col Fit for 300 Challenge,true
"May 18, 2020, 1:37:00 AM",ROKA Breakthrough 30,true
"May 20, 2020, 9:59:52 PM",Explor. Ride,true
"May 25, 2020, 8:16:37 PM",June Cycling Challenge,false
"May 25, 2020, 8:16:41 PM",June Gran Fondo,false
"May 25, 2020, 8:16:47 PM",June Cycling Climbing Challenge,false
"May 29, 2020, 6:02:48 PM",Nuzest 'Strive & Thrive' Challenge,true
"May 31, 2020, 2:38:26 AM",FOCUS Beat Your Screen Time Challenge,false
"Jun 1, 2020, 5:29:41 PM",Nuun Podium Series Challenge,false
"Jun 1, 2020, 5:30:27 PM",Mammut Local Adventure Challenge,true
"Jun 8, 2020, 3:01:09 AM",TRIBE Ride 100 for Love,true
"Jun 8, 2020, 5:50:35 AM",The Cannondale Week,true
"Jun 8, 2020, 5:51:11 AM",Picky Bars Summer Solstice Century,true
"Jun 8, 2020, 5:51:21 AM",CLIF® Builders® Challenge,true
"Jun 13, 2020, 11:04:13 PM",June 5K,true
"Jun 18, 2020, 3:49:48 PM",Ride for Justice,true
"Jun 19, 2020, 4:33:40 AM",ROKA Forward Together 200,true
"Jun 20, 2020, 4:15:50 AM",Le Col Faster Further 400 Challenge,true
"Jun 25, 2020, 3:20:55 PM",Jumbo Foodcoach Challenge,true
"Jun 26, 2020, 1:41:55 AM",July 5K,false
"Jun 26, 2020, 1:42:01 AM",July 10K,false
"Jun 26, 2020, 1:42:04 AM",July Gran Fondo,false
"Jun 26, 2020, 5:26:39 PM",July Run Climbing Challenge,false
"Jun 28, 2020, 8:34:54 PM",FuturumShop 21km Challenge,false
"Jun 28, 2020, 8:35:11 PM",Team ŠKODA We Love Cycling 2020,true
"Jul 13, 2020, 2:42:37 AM",PowerDot Grand Tour,true
