Goal Type,Activity Type,Goal,Start Date,End Date,Segment ID,Time Period,Interval Time
Distance Goal,Ride,99779.0,"Oct 11, 2015, 9:50:14 PM",,,Week
Distance Goal,Ride,5000000.0,"May 22, 2021, 2:44:51 AM",,,Year
Distance Goal,Ride,152887.0,"Aug 27, 2015, 8:12:33 PM",,,Week
Distance Goal,Ride,80467.2,"Jan 4, 2021, 12:22:45 AM",,,Week
Distance Goal,Run,20000.0,"Nov 12, 2013, 3:01:25 AM",,,Week
Distance Goal,Run,19000.0,"Jul 20, 2015, 2:16:55 PM",,,Week
Distance Goal,Run,160934.0,"Jan 5, 2017, 2:50:04 AM",,,Year
Distance Goal,Run,161000.0,"Aug 14, 2020, 8:32:13 PM",,,Year
Distance Goal,Ride,120700.0,"Oct 5, 2015, 12:39:25 AM",,,Week
Distance Goal,Ride,4829641.34,"Oct 3, 2021, 4:51:24 PM",,,Year
Distance Goal,Ride,136794.0,"Jul 24, 2018, 11:55:54 PM",,,Week
Distance Goal,Ride,160934.4,"Oct 3, 2021, 4:51:24 PM",,,Week
Distance Goal,Run,19312.0,"Apr 26, 2015, 9:52:24 PM",,,Week
Distance Goal,Ride,80467.0,"Apr 26, 2015, 9:52:24 PM",,,Week
Distance Goal,Ride,4829000.0,"Sep 19, 2021, 1:05:44 AM",,,Year
Distance Goal,Ride,80467.0,"Jun 14, 2020, 9:32:40 PM",,,Week
Distance Goal,Ride,4000000.0,"Aug 14, 2021, 2:42:43 AM",,,Year
Distance Goal,Run,30000.0,"Nov 6, 2013, 1:54:42 AM",,,Week
Distance Goal,Ride,80000.0,"May 22, 2021, 2:44:51 AM",,,Week
Distance Goal,Run,19312.0,"Aug 23, 2015, 4:20:29 PM",,,Week
Distance Goal,Ride,4285000.0,"Aug 14, 2021, 7:42:59 PM",,,Year
Distance Goal,Ride,160934.0,"Apr 12, 2015, 2:18:23 AM",,,Week
Distance Goal,Ride,3218688.0,"Jul 29, 2020, 1:11:03 AM",,,Year
Distance Goal,Ride,112654.08,"Mar 14, 2022, 1:13:34 PM",,,Week
Distance Goal,Ride,80000.0,"Sep 16, 2020, 1:37:27 PM",,,Week
Distance Goal,Ride,2414016.0,"Jul 20, 2020, 11:46:43 AM",,,Year
Distance Goal,Ride,6437376.0,"Jan 4, 2021, 12:22:45 AM",,,Year
Distance Goal,Ride,136794.0,"Sep 25, 2016, 5:30:43 PM",,,Week
Distance Goal,Ride,120700.0,"Aug 23, 2015, 4:20:29 PM",,,Week
Distance Goal,Ride,3219000.0,"Sep 16, 2020, 1:37:27 PM",,,Year
Distance Goal,Ride,136794.0,"May 14, 2016, 7:45:35 PM",,,Week
Distance Goal,Ride,3218688.0,"Jan 1, 2016, 8:23:25 PM",,,Year
Distance Goal,Ride,80467.0,"Jan 6, 2013, 5:53:12 AM",,,Week
Distance Goal,Ride,4023360.0,"Mar 20, 2022, 5:56:27 PM",,,Year
Distance Goal,Ride,4828032.0,"Feb 27, 2021, 8:55:34 PM",,,Year
Distance Goal,Ride,160934.0,"Apr 29, 2013, 2:02:59 AM",,,Week
Distance Goal,Ride,1609344.0,"Jul 24, 2018, 11:55:54 PM",,,Year
Distance Goal,Run,8047.0,"Jun 1, 2020, 7:53:18 PM",,,Week
Distance Goal,Ride,100000.0,"Jul 5, 2021, 4:13:40 PM",,,Week
Distance Goal,Ride,100000.0,"Jul 20, 2015, 2:16:55 PM",,,Week
Distance Goal,Run,8000.0,"Aug 14, 2020, 8:32:13 PM",,,Week
Distance Goal,Ride,5000000.0,"Sep 18, 2021, 7:17:05 PM",,,Year
Segment Goal,Ride,2700,"Jul 27, 2014, 12:00:00 AM","Aug 29, 2014, 12:00:00 AM",3944378
Segment Goal,Ride,2640,"Jul 5, 2015, 12:00:00 AM","Oct 31, 2015, 12:00:00 AM",3944378
Segment Goal,Ride,2580,"Mar 21, 2016, 12:00:00 AM","Oct 31, 2016, 12:00:00 AM",3944378
Segment Goal,Ride,1140,"May 13, 2016, 12:00:00 AM","Oct 31, 2016, 12:00:00 AM",3342782
Segment Goal,Ride,750,"Apr 22, 2021, 12:00:00 AM","May 31, 2021, 12:00:00 AM",229781
