Join Date,Club Name
"Apr 7, 2013, 2:56:35 AM",Island Riders Bike Club
"Mar 8, 2016, 7:40:07 PM",Full Spin NYC
"Jul 10, 2017, 11:27:34 PM",The Strava Club
"Aug 25, 2017, 6:23:08 AM",VeloGuide
"Apr 17, 2018, 8:39:30 PM",Bronx Cycling Club
"Jul 28, 2018, 10:29:46 PM",Multi-Clubs Cyclists
"Mar 23, 2019, 4:42:25 PM",Veloforte
"Apr 21, 2020, 12:15:42 AM",Haitians on Strava
"Jun 28, 2020, 8:35:13 PM",ŠKODA We Love Cycling France
"Jun 28, 2020, 11:47:17 PM",Westchester Cycle Club
"Jun 29, 2020, 12:56:22 AM",Trek Ride Club
"Aug 31, 2020, 4:54:57 AM",Swift Social Distance Cycling Club
"Sep 13, 2020, 1:07:55 PM",Strava New York
"Dec 3, 2020, 9:59:54 PM", 2022 challenge
"Dec 31, 2020, 1:06:24 AM",4.042 km in 2021
"Jan 4, 2021, 3:08:47 AM",4000 miles a Year 'Cycling Challenge'
"Feb 2, 2021, 5:13:24 PM",Fat Cake Club
"Jan 24, 2021, 7:11:13 PM",1 Kathlon Ultra Cycling Club
"Mar 15, 2021, 10:25:35 PM",Bespoke Cycles
"Mar 21, 2021, 9:17:36 PM",Huckleberry Bicycles 
"May 6, 2021, 11:34:18 PM",Rapha San Francisco
"May 10, 2021, 6:51:20 PM",Arc'teryx
"Jul 7, 2021, 7:13:33 AM",Team Alameda
"Aug 13, 2021, 6:04:01 AM",Alameda Bicycle Group Rides
"Mar 19, 2022, 4:17:27 PM",East Bay Mochi Gang
"Mar 19, 2022, 4:35:32 AM",Cycle Sports
