Promotion Seen,Timestamp
Feed Follow Option Coachmark,1590013579
Grade Adjusted Pace Activity Detail Feature Education,1591212185
Grade Adjusted Pace Activity Detail Feature Education,1591213311
Grade Adjusted Pace Activity Detail Feature Education,1591652658
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597448453
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597448484
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597448600
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597453803
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597721758
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.GOALS_PROFILE_FEATURE_EDUCATION"">Goals Profile Feature Education</span>",1597721759
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616885617
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616965345
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_FEATURE_ED"">Evergreen Stats Feature Ed</span>",1616988658
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.EVERGREEN_STATS_SHARE_FEATURE_ED"">Evergreen Stats Share Feature Ed</span>",1616888963
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_HOME"">Navigation Tab Home</span>",1617000874
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_MAPS"">Navigation Tab Maps</span>",1617000939
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_GROUPS"">Navigation Tab Groups</span>",1620343584
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU"">Navigation Tab You</span>",1617998237
"<span class=""translation_missing"" title=""translation missing: en-US.lib.export.portability_exporter.metering.label.NAVIGATION_TAB_YOU_PROGRESS"">Navigation Tab You Progress</span>",1617998237
