Route Name,Route Filename
Telegraph Avenue-Grizzly Peak Boulevard-Broadway,routes/1.gpx
Central Avenue-Shore Line Drive-Arrowhead Marsh Trail,routes/2.gpx
East Bay Dirt,routes/3.gpx
Shore Line Drive-Doolittle Drive-Arrowhead Marsh Trail,routes/4.gpx
Alameda Creek Trail-Niles Canyon Road-Foothill Road,routes/5.gpx
Richmond-San Rafael Bridge Bicycle and Pedestrian Path-San Francisco Bay Trail-Hesperian Boulevard,routes/6.gpx
Pinehurst - Skyline,routes/7.gpx
Embarcadero-Doolittle Drive-San Francisco Bay Trail,routes/8.gpx
Arrowhead Marsh Trail-Maitland Drive-Shore Line Drive,routes/9.gpx
Pinehurst Road-Rheem Boulevard-Broadway,routes/10.gpx
Pinehurst Road-Rheem Boulevard-Broadway,routes/11.gpx
Coastal,routes/12.gpx
Tennessee - Coastal,routes/13.gpx
Paul route,routes/14.gpx
"Deer Park, Railroad Grade, Hoo-Koo-ee-Koo, Shaver Grade, Rocky Ridge, Bithedale, Marincello, Bobcat, Coastal",routes/15.gpx
Studio Velo Loops: The Mt Tam Ascent Gravel Ride,routes/16.gpx
Dirt Day,routes/17.gpx
Mill Valley,routes/18.gpx
Gravel - Magnolia Avenue-Mill Valley - Sausalito Path-Bridgeway,routes/19.gpx
Panoramic Highway-Mill Valley - Sausalito Path-Bridgeway,routes/20.gpx
Junipero Serra Boulevard-Foothill Expressway-Alpine Road,routes/21.gpx
Bayshore Boulevard-Skyline Boulevard-John F Kennedy Drive,routes/22.gpx
SF Todo,routes/23.gpx
Armonk Road-Bedford Road-Columbus Avenue,routes/24.gpx
GWB_Nyack_NJ,routes/25.gpx
Gravel Riding from Croton-on-Hudson,routes/26.gpx
NY-CT_27,routes/27.gpx
Bear Mountain Loop,routes/28.gpx
Keuka Lake Loop,routes/29.gpx
Weekly Ride,routes/30.gpx
Quick Spine Around the House,routes/31.gpx
Twin Lights Ride 55 Mile,routes/32.gpx
Town Line Road-West Genesee Street Road-State Highway 90,routes/33.gpx
Owasco Road-Rockefeller Road-West Lake Road,routes/34.gpx
Walker Road-West Genesee Street Road-Oakwood Road,routes/35.gpx
NY 90-State Highway 34B-Ridge Road,routes/36.gpx
Anderson Hill Road-King Street-Mount Kisco Road,routes/37.gpx
Park Lane-Purchase Street-Old Orchard Street,routes/38.gpx
Mount Kisco Road-Bedford Road-Park Lane,routes/39.gpx
Trek into CT,routes/40.gpx
Ride to Golden Bridge,routes/41.gpx
Gravel Road ,routes/42.gpx
Hills Repeats ,routes/43.gpx
